                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	15.00	3.90	100.000	0.10	0.20
2	277.000000	13.93	4.81	100.000	0.10	0.20
3	346.250000	9.39	5.01	100.000	0.10	0.20
4	415.500000	14.96	7.72	100.000	0.10	0.20
5	554.000000	19.10	10.20	100.000	0.10	0.20
6	692.500000	19.64	11.68	100.000	0.10	0.20
7	831.000000	18.46	13.81	100.000	0.10	0.20
8	969.500000	22.85	15.70	100.000	0.10	0.20
9	1177.250000	22.39	16.56	100.000	0.10	0.20
10	1246.500000	25.42	16.60	100.000	0.10	0.20
11	1523.500000	24.38	18.11	100.000	0.10	0.20
12	1662.000000	25.41	18.69	100.000	0.10	0.20
13	1800.500000	26.42	20.00	100.000	0.10	0.20
14	1939.000000	25.60	20.45	100.000	0.10	0.20
