                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	16.14	3.90	100.000	0.10	0.20
2	277.000000	14.52	4.81	100.000	0.10	0.20
3	415.500000	15.62	7.72	100.000	0.10	0.20
4	554.000000	19.85	10.20	100.000	0.10	0.20
5	692.500000	34.43	11.68	100.000	0.10	0.20
6	831.000000	22.63	13.81	100.000	0.10	0.20
7	969.500000	29.57	15.70	100.000	0.10	0.20
8	1177.250000	22.64	16.56	100.000	0.10	0.20
9	1246.500000	25.66	16.60	100.000	0.10	0.20
10	1523.500000	32.35	18.11	100.000	0.10	0.20
11	1662.000000	33.55	18.69	100.000	0.10	0.20
12	1800.500000	30.99	20.00	100.000	0.10	0.20
13	1869.750000	25.51	20.24	100.000	0.10	0.20
14	1939.000000	26.39	20.45	100.000	0.10	0.20
