                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	13.88	3.90	100.000	0.10	0.20
2	277.000000	12.81	4.81	100.000	0.10	0.20
3	415.500000	15.65	7.72	100.000	0.10	0.20
4	554.000000	28.70	10.20	100.000	0.10	0.20
5	692.500000	27.87	11.68	100.000	0.10	0.20
6	831.000000	26.46	13.81	100.000	0.10	0.20
7	969.500000	36.65	15.70	100.000	0.10	0.20
8	1108.000000	23.63	15.70	100.000	0.10	0.20
9	1246.500000	28.09	16.60	100.000	0.10	0.20
10	1523.500000	36.52	18.11	100.000	0.10	0.20
11	1662.000000	31.94	18.69	100.000	0.10	0.20
12	1800.500000	32.54	20.00	100.000	0.10	0.20
13	1939.000000	23.88	20.45	100.000	0.10	0.20
