                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	17.87	3.90	100.000	0.10	0.20
2	277.000000	14.34	4.81	100.000	0.10	0.20
3	415.500000	15.12	7.72	100.000	0.10	0.20
4	554.000000	17.45	10.20	100.000	0.10	0.20
5	692.500000	31.55	11.68	100.000	0.10	0.20
6	831.000000	18.12	13.81	100.000	0.10	0.20
7	1246.500000	22.52	16.60	100.000	0.10	0.20
8	1523.500000	24.21	18.11	100.000	0.10	0.20
9	1662.000000	28.29	18.69	100.000	0.10	0.20
10	1800.500000	27.37	20.00	100.000	0.10	0.20
11	1939.000000	26.31	20.45	100.000	0.10	0.20
