                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	12.25	3.90	100.000	0.10	0.20
2	277.000000	13.63	4.81	100.000	0.10	0.20
3	415.500000	21.37	7.72	100.000	0.10	0.20
4	554.000000	28.06	10.20	100.000	0.10	0.20
5	692.500000	21.92	11.68	100.000	0.10	0.20
6	831.000000	23.79	13.81	100.000	0.10	0.20
7	969.500000	29.79	15.70	100.000	0.10	0.20
8	1108.000000	20.71	15.70	100.000	0.10	0.20
9	1177.250000	22.85	16.56	100.000	0.10	0.20
10	1246.500000	27.69	16.60	100.000	0.10	0.20
11	1523.500000	34.62	18.11	100.000	0.10	0.20
12	1592.750000	23.76	19.14	100.000	0.10	0.20
13	1662.000000	35.97	18.69	100.000	0.10	0.20
14	1800.500000	27.88	20.00	100.000	0.10	0.20
15	1869.750000	24.80	20.24	100.000	0.10	0.20
