                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	13.80	3.90	100.000	0.10	0.20
2	277.000000	14.68	4.81	100.000	0.10	0.20
3	415.500000	20.65	7.72	100.000	0.10	0.20
4	554.000000	21.87	10.20	100.000	0.10	0.20
5	692.500000	34.54	11.68	100.000	0.10	0.20
6	831.000000	24.86	13.81	100.000	0.10	0.20
7	969.500000	28.56	15.70	100.000	0.10	0.20
8	1108.000000	19.93	15.70	100.000	0.10	0.20
9	1246.500000	23.33	16.60	100.000	0.10	0.20
10	1523.500000	29.12	18.11	100.000	0.10	0.20
11	1592.750000	23.17	19.14	100.000	0.10	0.20
12	1662.000000	28.62	18.69	100.000	0.10	0.20
13	1800.500000	30.91	20.00	100.000	0.10	0.20
14	1939.000000	28.88	20.45	100.000	0.10	0.20
