                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	71.808696	7.90	0.63	100.000	0.10	0.20
2	143.617391	8.87	3.40	100.000	0.10	0.20
3	215.426087	18.81	2.30	100.000	0.10	0.20
4	287.234783	21.94	4.68	100.000	0.10	0.20
5	359.043478	18.33	5.40	100.000	0.10	0.20
6	430.852174	14.69	7.34	100.000	0.10	0.20
7	502.660870	14.24	9.98	100.000	0.10	0.20
8	646.278261	17.00	10.66	100.000	0.10	0.20
9	718.086957	20.72	11.33	100.000	0.10	0.20
10	789.895652	20.81	12.53	100.000	0.10	0.20
11	933.513043	21.50	14.93	100.000	0.10	0.20
12	1005.321739	19.38	15.42	100.000	0.10	0.20
13	1077.130435	22.49	16.18	100.000	0.10	0.20
14	1220.747826	21.81	16.21	100.000	0.10	0.20
15	1507.982609	22.88	17.92	100.000	0.10	0.20
16	1651.600000	22.19	18.91	100.000	0.10	0.20
17	1795.217391	26.37	19.79	100.000	0.10	0.20
18	1867.026087	25.53	19.56	100.000	0.10	0.20
19	1938.834783	26.47	19.63	100.000	0.10	0.20
