                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	71.808696	5.27	0.63	100.000	0.10	0.20
2	143.617391	12.60	3.40	100.000	0.10	0.20
3	215.426087	19.32	2.30	100.000	0.10	0.20
4	287.234783	20.50	4.68	100.000	0.10	0.20
5	359.043478	15.04	5.40	100.000	0.10	0.20
6	718.086957	16.97	11.33	100.000	0.10	0.20
7	1005.321739	21.47	15.42	100.000	0.10	0.20
8	1220.747826	23.70	16.21	100.000	0.10	0.20
9	1292.556522	24.52	16.72	100.000	0.10	0.20
10	1364.365217	23.42	17.51	100.000	0.10	0.20
11	1507.982609	23.01	17.92	100.000	0.10	0.20
12	1579.791304	24.62	18.34	100.000	0.10	0.20
