                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.622222	8.51	4.19	100.000	0.10	0.20
2	215.433333	28.43	2.57	100.000	0.10	0.20
3	287.244444	20.85	3.99	100.000	0.10	0.20
4	359.055556	20.27	5.97	100.000	0.10	0.20
5	430.866667	12.20	7.18	100.000	0.10	0.20
6	502.677778	14.66	8.96	100.000	0.10	0.20
7	574.488889	18.20	9.63	100.000	0.10	0.20
8	646.300000	19.19	10.92	100.000	0.10	0.20
9	718.111111	27.48	11.62	100.000	0.10	0.20
10	789.922222	27.00	13.11	100.000	0.10	0.20
11	861.733333	30.77	14.04	100.000	0.10	0.20
12	933.544444	23.12	14.83	100.000	0.10	0.20
13	1005.355556	24.52	15.26	100.000	0.10	0.20
14	1077.166667	27.20	15.66	100.000	0.10	0.20
15	1220.788889	23.79	16.84	100.000	0.10	0.20
16	1292.600000	23.62	17.10	100.000	0.10	0.20
17	1364.411111	26.33	17.17	100.000	0.10	0.20
18	1508.033333	24.90	18.15	100.000	0.10	0.20
19	1651.655556	25.16	18.69	100.000	0.10	0.20
20	1723.466667	24.55	19.15	100.000	0.10	0.20
21	1795.277778	26.18	20.33	100.000	0.10	0.20
