                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	71.811111	12.54	1.35	100.000	0.10	0.20
2	143.622222	14.20	4.19	100.000	0.10	0.20
3	215.433333	34.67	2.57	100.000	0.10	0.20
4	287.244444	27.74	3.99	100.000	0.10	0.20
5	359.055556	24.78	5.97	100.000	0.10	0.20
6	430.866667	13.65	7.18	100.000	0.10	0.20
7	502.677778	17.29	8.96	100.000	0.10	0.20
8	574.488889	21.60	9.63	100.000	0.10	0.20
9	646.300000	18.88	10.92	100.000	0.10	0.20
10	718.111111	29.65	11.62	100.000	0.10	0.20
11	789.922222	27.47	13.11	100.000	0.10	0.20
12	861.733333	25.29	14.04	100.000	0.10	0.20
13	933.544444	22.45	14.83	100.000	0.10	0.20
14	1077.166667	23.26	15.66	100.000	0.10	0.20
15	1220.788889	22.78	16.84	100.000	0.10	0.20
16	1364.411111	24.07	17.17	100.000	0.10	0.20
17	1436.222222	23.90	17.62	100.000	0.10	0.20
18	1508.033333	25.12	18.15	100.000	0.10	0.20
19	1651.655556	23.32	18.69	100.000	0.10	0.20
