                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	71.811111	8.66	1.35	100.000	0.10	0.20
2	143.622222	11.54	4.19	100.000	0.10	0.20
3	215.433333	32.42	2.57	100.000	0.10	0.20
4	287.244444	27.45	3.99	100.000	0.10	0.20
5	359.055556	15.86	5.97	100.000	0.10	0.20
6	430.866667	22.99	7.18	100.000	0.10	0.20
7	502.677778	17.28	8.96	100.000	0.10	0.20
8	574.488889	17.97	9.63	100.000	0.10	0.20
9	646.300000	21.85	10.92	100.000	0.10	0.20
10	718.111111	24.75	11.62	100.000	0.10	0.20
11	789.922222	33.00	13.11	100.000	0.10	0.20
12	861.733333	23.50	14.04	100.000	0.10	0.20
13	933.544444	31.59	14.83	100.000	0.10	0.20
14	1077.166667	28.30	15.66	100.000	0.10	0.20
15	1148.977778	23.40	16.06	100.000	0.10	0.20
16	1220.788889	23.44	16.84	100.000	0.10	0.20
17	1292.600000	21.92	17.10	100.000	0.10	0.20
18	1364.411111	26.40	17.17	100.000	0.10	0.20
19	1436.222222	28.13	17.62	100.000	0.10	0.20
20	1508.033333	28.52	18.15	100.000	0.10	0.20
21	1579.844444	24.63	18.24	100.000	0.10	0.20
22	1651.655556	24.87	18.69	100.000	0.10	0.20
23	1795.277778	26.29	20.33	100.000	0.10	0.20
