                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.617391	12.59	3.40	100.000	0.10	0.20
2	215.426087	16.72	2.30	100.000	0.10	0.20
3	287.234783	18.35	4.68	100.000	0.10	0.20
4	359.043478	20.10	5.40	100.000	0.10	0.20
5	430.852174	12.00	7.34	100.000	0.10	0.20
6	502.660870	13.92	9.98	100.000	0.10	0.20
7	789.895652	17.22	12.53	100.000	0.10	0.20
8	861.704348	19.29	14.04	100.000	0.10	0.20
9	1292.556522	22.41	16.72	100.000	0.10	0.20
10	1507.982609	24.68	17.92	100.000	0.10	0.20
11	1579.791304	25.59	18.34	100.000	0.10	0.20
12	1651.600000	27.87	18.91	100.000	0.10	0.20
13	1795.217391	26.76	19.79	100.000	0.10	0.20
