                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.617391	11.49	3.40	100.000	0.10	0.20
2	215.426087	13.27	2.30	100.000	0.10	0.20
3	287.234783	20.69	4.68	100.000	0.10	0.20
4	359.043478	15.41	5.40	100.000	0.10	0.20
5	502.660870	15.05	9.98	100.000	0.10	0.20
6	718.086957	18.49	11.33	100.000	0.10	0.20
7	789.895652	20.74	12.53	100.000	0.10	0.20
8	861.704348	21.21	14.04	100.000	0.10	0.20
9	1005.321739	20.59	15.42	100.000	0.10	0.20
10	1220.747826	22.39	16.21	100.000	0.10	0.20
11	1507.982609	21.10	17.92	100.000	0.10	0.20
12	1651.600000	24.15	18.91	100.000	0.10	0.20
13	1795.217391	26.14	19.79	100.000	0.10	0.20
