                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.617391	8.86	3.40	100.000	0.10	0.20
2	215.426087	15.11	2.30	100.000	0.10	0.20
3	287.234783	13.10	4.68	100.000	0.10	0.20
4	359.043478	18.30	5.40	100.000	0.10	0.20
5	430.852174	11.96	7.34	100.000	0.10	0.20
6	502.660870	13.95	9.98	100.000	0.10	0.20
7	718.086957	20.48	11.33	100.000	0.10	0.20
8	789.895652	21.01	12.53	100.000	0.10	0.20
9	933.513043	21.20	14.93	100.000	0.10	0.20
10	1005.321739	23.85	15.42	100.000	0.10	0.20
11	1077.130435	20.74	16.18	100.000	0.10	0.20
12	1148.939130	21.28	15.64	100.000	0.10	0.20
13	1220.747826	20.52	16.21	100.000	0.10	0.20
14	1364.365217	22.67	17.51	100.000	0.10	0.20
