                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	71.808696	6.49	0.63	100.000	0.10	0.20
2	143.617391	14.76	3.40	100.000	0.10	0.20
3	215.426087	27.49	2.30	100.000	0.10	0.20
4	287.234783	24.43	4.68	100.000	0.10	0.20
5	359.043478	14.20	5.40	100.000	0.10	0.20
6	430.852174	19.01	7.34	100.000	0.10	0.20
7	502.660870	14.90	9.98	100.000	0.10	0.20
8	646.278261	18.36	10.66	100.000	0.10	0.20
9	718.086957	24.25	11.33	100.000	0.10	0.20
10	789.895652	24.20	12.53	100.000	0.10	0.20
11	933.513043	22.13	14.93	100.000	0.10	0.20
12	1077.130435	19.80	16.18	100.000	0.10	0.20
13	1220.747826	22.21	16.21	100.000	0.10	0.20
14	1507.982609	23.60	17.92	100.000	0.10	0.20
