                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	215.426087	17.42	2.30	100.000	0.10	0.20
2	287.234783	20.93	4.68	100.000	0.10	0.20
3	359.043478	19.31	5.40	100.000	0.10	0.20
4	430.852174	15.40	7.34	100.000	0.10	0.20
5	502.660870	13.72	9.98	100.000	0.10	0.20
6	718.086957	22.38	11.33	100.000	0.10	0.20
7	789.895652	21.26	12.53	100.000	0.10	0.20
8	861.704348	21.77	14.04	100.000	0.10	0.20
9	1077.130435	21.08	16.18	100.000	0.10	0.20
10	1220.747826	21.30	16.21	100.000	0.10	0.20
11	1507.982609	24.56	17.92	100.000	0.10	0.20
12	1651.600000	25.71	18.91	100.000	0.10	0.20
13	1795.217391	27.02	19.79	100.000	0.10	0.20
