                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	13.97	3.90	100.000	0.10	0.20
2	277.000000	15.43	4.81	100.000	0.10	0.20
3	415.500000	14.87	7.72	100.000	0.10	0.20
4	554.000000	27.96	10.20	100.000	0.10	0.20
5	692.500000	34.80	11.68	100.000	0.10	0.20
6	831.000000	20.57	13.81	100.000	0.10	0.20
7	969.500000	21.91	15.70	100.000	0.10	0.20
8	1177.250000	24.65	16.56	100.000	0.10	0.20
9	1246.500000	29.56	16.60	100.000	0.10	0.20
10	1523.500000	35.83	18.11	100.000	0.10	0.20
11	1592.750000	23.50	19.14	100.000	0.10	0.20
12	1662.000000	28.28	18.69	100.000	0.10	0.20
13	1800.500000	29.36	20.00	100.000	0.10	0.20
14	1939.000000	28.54	20.45	100.000	0.10	0.20
