                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	13.00	3.90	100.000	0.10	0.20
2	277.000000	14.18	4.81	100.000	0.10	0.20
3	415.500000	18.84	7.72	100.000	0.10	0.20
4	554.000000	15.86	10.20	100.000	0.10	0.20
5	692.500000	26.66	11.68	100.000	0.10	0.20
6	831.000000	22.16	13.81	100.000	0.10	0.20
7	969.500000	27.66	15.70	100.000	0.10	0.20
8	1108.000000	21.11	15.70	100.000	0.10	0.20
9	1177.250000	26.75	16.56	100.000	0.10	0.20
10	1246.500000	26.07	16.60	100.000	0.10	0.20
11	1385.000000	24.19	17.25	100.000	0.10	0.20
12	1523.500000	35.90	18.11	100.000	0.10	0.20
13	1592.750000	25.37	19.14	100.000	0.10	0.20
14	1662.000000	36.66	18.69	100.000	0.10	0.20
15	1800.500000	38.18	20.00	100.000	0.10	0.20
16	1869.750000	24.81	20.24	100.000	0.10	0.20
17	1939.000000	30.74	20.45	100.000	0.10	0.20
