                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	11.58	3.90	100.000	0.10	0.20
2	277.000000	15.62	4.81	100.000	0.10	0.20
3	415.500000	22.03	7.72	100.000	0.10	0.20
4	554.000000	22.75	10.20	100.000	0.10	0.20
5	692.500000	39.74	11.68	100.000	0.10	0.20
6	831.000000	19.24	13.81	100.000	0.10	0.20
7	969.500000	28.33	15.70	100.000	0.10	0.20
8	1108.000000	22.69	15.70	100.000	0.10	0.20
9	1246.500000	27.22	16.60	100.000	0.10	0.20
10	1523.500000	30.92	18.11	100.000	0.10	0.20
11	1662.000000	29.25	18.69	100.000	0.10	0.20
12	1800.500000	33.43	20.00	100.000	0.10	0.20
13	1869.750000	25.61	20.24	100.000	0.10	0.20
14	1939.000000	26.59	20.45	100.000	0.10	0.20
