                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	12.89	3.45	100.000	0.10	0.20
2	277.000000	14.32	4.08	100.000	0.10	0.20
3	415.500000	17.39	7.76	100.000	0.10	0.20
4	554.000000	23.85	10.58	100.000	0.10	0.20
5	692.500000	38.49	11.64	100.000	0.10	0.20
6	831.000000	21.16	13.36	100.000	0.10	0.20
7	969.500000	28.83	15.17	100.000	0.10	0.20
8	1108.000000	22.66	15.45	100.000	0.10	0.20
9	1177.250000	23.31	16.39	100.000	0.10	0.20
10	1246.500000	26.77	16.67	100.000	0.10	0.20
11	1523.500000	27.07	18.63	100.000	0.10	0.20
12	1592.750000	24.22	18.53	100.000	0.10	0.20
13	1662.000000	32.79	18.89	100.000	0.10	0.20
14	1800.500000	34.24	19.32	100.000	0.10	0.20
15	1939.000000	32.38	20.79	100.000	0.10	0.20
