                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	12.52	3.45	100.000	0.10	0.20
2	277.000000	12.48	4.08	100.000	0.10	0.20
3	415.500000	21.23	7.76	100.000	0.10	0.20
4	554.000000	21.47	10.58	100.000	0.10	0.20
5	692.500000	34.69	11.64	100.000	0.10	0.20
6	969.500000	28.30	15.17	100.000	0.10	0.20
7	1177.250000	22.35	16.39	100.000	0.10	0.20
8	1246.500000	23.20	16.67	100.000	0.10	0.20
9	1523.500000	24.48	18.63	100.000	0.10	0.20
10	1592.750000	25.38	18.53	100.000	0.10	0.20
11	1662.000000	30.73	18.89	100.000	0.10	0.20
12	1800.500000	30.85	19.32	100.000	0.10	0.20
13	1869.750000	24.63	19.61	100.000	0.10	0.20
14	1939.000000	27.02	20.79	100.000	0.10	0.20
