                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	11.07	3.45	100.000	0.10	0.20
2	277.000000	11.28	4.08	100.000	0.10	0.20
3	415.500000	15.38	7.76	100.000	0.10	0.20
4	554.000000	21.17	10.58	100.000	0.10	0.20
5	692.500000	30.29	11.64	100.000	0.10	0.20
6	831.000000	20.88	13.36	100.000	0.10	0.20
7	900.250000	19.94	15.16	100.000	0.10	0.20
8	969.500000	24.26	15.17	100.000	0.10	0.20
9	1108.000000	22.11	15.45	100.000	0.10	0.20
10	1177.250000	24.67	16.39	100.000	0.10	0.20
11	1246.500000	24.67	16.67	100.000	0.10	0.20
12	1523.500000	35.41	18.63	100.000	0.10	0.20
13	1662.000000	34.88	18.89	100.000	0.10	0.20
14	1800.500000	26.74	19.32	100.000	0.10	0.20
15	1869.750000	25.04	19.61	100.000	0.10	0.20
16	1939.000000	29.33	20.79	100.000	0.10	0.20
