                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	14.41	3.46	100.000	0.10	0.20
2	277.000000	12.72	3.58	100.000	0.10	0.20
3	415.500000	21.61	6.97	100.000	0.10	0.20
4	554.000000	21.52	9.78	100.000	0.10	0.20
5	692.500000	37.02	11.47	100.000	0.10	0.20
6	831.000000	25.38	13.22	100.000	0.10	0.20
7	969.500000	29.79	14.11	100.000	0.10	0.20
8	1246.500000	25.61	16.68	100.000	0.10	0.20
9	1523.500000	27.66	18.15	100.000	0.10	0.20
10	1662.000000	30.84	18.47	100.000	0.10	0.20
11	1800.500000	29.44	20.17	100.000	0.10	0.20
12	1939.000000	27.77	20.40	100.000	0.10	0.20
