                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	69.250000	8.31	1.40	100.000	0.10	0.20
2	138.500000	11.46	3.90	100.000	0.10	0.20
3	277.000000	15.68	4.81	100.000	0.10	0.20
4	415.500000	21.00	7.72	100.000	0.10	0.20
5	554.000000	19.77	10.20	100.000	0.10	0.20
6	692.500000	39.69	11.68	100.000	0.10	0.20
7	831.000000	21.32	13.81	100.000	0.10	0.20
8	969.500000	22.57	15.70	100.000	0.10	0.20
9	1108.000000	22.46	15.70	100.000	0.10	0.20
10	1246.500000	22.43	16.60	100.000	0.10	0.20
11	1523.500000	33.90	18.11	100.000	0.10	0.20
12	1662.000000	31.92	18.69	100.000	0.10	0.20
13	1800.500000	37.33	20.00	100.000	0.10	0.20
14	1869.750000	25.13	20.24	100.000	0.10	0.20
15	1939.000000	30.28	20.45	100.000	0.10	0.20
