                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.617391	16.66	3.40	100.000	0.10	0.20
2	215.426087	28.00	2.30	100.000	0.10	0.20
3	287.234783	24.68	4.68	100.000	0.10	0.20
4	359.043478	21.12	5.40	100.000	0.10	0.20
5	430.852174	11.72	7.34	100.000	0.10	0.20
6	574.469565	18.62	11.13	100.000	0.10	0.20
7	718.086957	19.40	11.33	100.000	0.10	0.20
8	861.704348	20.58	14.04	100.000	0.10	0.20
9	933.513043	22.78	14.93	100.000	0.10	0.20
10	1507.982609	21.16	17.92	100.000	0.10	0.20
