                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.617391	10.31	3.40	100.000	0.10	0.20
2	215.426087	18.02	2.30	100.000	0.10	0.20
3	287.234783	23.34	4.68	100.000	0.10	0.20
4	359.043478	23.21	5.40	100.000	0.10	0.20
5	646.278261	16.69	10.66	100.000	0.10	0.20
6	789.895652	19.43	12.53	100.000	0.10	0.20
7	1507.982609	22.72	17.92	100.000	0.10	0.20
8	1651.600000	23.45	18.91	100.000	0.10	0.20
9	1938.834783	25.62	19.63	100.000	0.10	0.20
