                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.617391	11.94	3.40	100.000	0.10	0.20
2	215.426087	22.63	2.30	100.000	0.10	0.20
3	287.234783	26.95	4.68	100.000	0.10	0.20
4	359.043478	28.46	5.40	100.000	0.10	0.20
5	430.852174	13.43	7.34	100.000	0.10	0.20
6	502.660870	14.94	9.98	100.000	0.10	0.20
7	646.278261	18.99	10.66	100.000	0.10	0.20
8	718.086957	23.36	11.33	100.000	0.10	0.20
9	789.895652	28.04	12.53	100.000	0.10	0.20
10	861.704348	20.54	14.04	100.000	0.10	0.20
11	933.513043	21.63	14.93	100.000	0.10	0.20
12	1077.130435	21.47	16.18	100.000	0.10	0.20
13	1507.982609	23.15	17.92	100.000	0.10	0.20
14	1795.217391	25.79	19.79	100.000	0.10	0.20
