                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.617391	15.18	3.40	100.000	0.10	0.20
2	215.426087	21.21	2.30	100.000	0.10	0.20
3	287.234783	19.83	4.68	100.000	0.10	0.20
4	359.043478	19.77	5.40	100.000	0.10	0.20
5	502.660870	15.32	9.98	100.000	0.10	0.20
6	646.278261	16.19	10.66	100.000	0.10	0.20
7	718.086957	18.16	11.33	100.000	0.10	0.20
8	789.895652	18.89	12.53	100.000	0.10	0.20
9	861.704348	18.07	14.04	100.000	0.10	0.20
10	1005.321739	19.44	15.42	100.000	0.10	0.20
11	1077.130435	20.79	16.18	100.000	0.10	0.20
12	1148.939130	19.23	15.64	100.000	0.10	0.20
13	1220.747826	23.81	16.21	100.000	0.10	0.20
14	1292.556522	25.63	16.72	100.000	0.10	0.20
15	1364.365217	24.10	17.51	100.000	0.10	0.20
16	1507.982609	22.73	17.92	100.000	0.10	0.20
17	1579.791304	25.81	18.34	100.000	0.10	0.20
18	1651.600000	24.76	18.91	100.000	0.10	0.20
19	1795.217391	27.69	19.79	100.000	0.10	0.20
20	1938.834783	26.01	19.63	100.000	0.10	0.20
