                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	12.19	3.45	100.000	0.10	0.20
2	277.000000	20.25	4.08	100.000	0.10	0.20
3	415.500000	16.97	7.76	100.000	0.10	0.20
4	692.500000	25.55	11.64	100.000	0.10	0.20
5	831.000000	23.13	13.36	100.000	0.10	0.20
6	969.500000	24.51	15.17	100.000	0.10	0.20
7	1108.000000	21.48	15.45	100.000	0.10	0.20
8	1246.500000	25.55	16.67	100.000	0.10	0.20
9	1523.500000	29.00	18.63	100.000	0.10	0.20
10	1662.000000	26.81	18.89	100.000	0.10	0.20
11	1800.500000	27.57	19.32	100.000	0.10	0.20
12	1869.750000	25.40	19.61	100.000	0.10	0.20
13	1939.000000	24.41	20.79	100.000	0.10	0.20
