                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	13.40	3.45	100.000	0.10	0.20
2	277.000000	12.30	4.08	100.000	0.10	0.20
3	415.500000	14.51	7.76	100.000	0.10	0.20
4	554.000000	25.16	10.58	100.000	0.10	0.20
5	692.500000	38.06	11.64	100.000	0.10	0.20
6	831.000000	22.24	13.36	100.000	0.10	0.20
7	969.500000	20.68	15.17	100.000	0.10	0.20
8	1038.750000	20.50	14.81	100.000	0.10	0.20
9	1108.000000	23.67	15.45	100.000	0.10	0.20
10	1177.250000	25.94	16.39	100.000	0.10	0.20
11	1523.500000	34.77	18.63	100.000	0.10	0.20
12	1592.750000	23.38	18.53	100.000	0.10	0.20
13	1662.000000	31.92	18.89	100.000	0.10	0.20
14	1800.500000	36.32	19.32	100.000	0.10	0.20
15	1869.750000	24.42	19.61	100.000	0.10	0.20
16	1939.000000	26.09	20.79	100.000	0.10	0.20
