                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	16.95	3.45	100.000	0.10	0.20
2	277.000000	14.65	4.08	100.000	0.10	0.20
3	415.500000	21.73	7.76	100.000	0.10	0.20
4	554.000000	19.81	10.58	100.000	0.10	0.20
5	692.500000	39.99	11.64	100.000	0.10	0.20
6	831.000000	20.60	13.36	100.000	0.10	0.20
7	969.500000	28.28	15.17	100.000	0.10	0.20
8	1177.250000	23.42	16.39	100.000	0.10	0.20
9	1246.500000	26.64	16.67	100.000	0.10	0.20
10	1523.500000	33.30	18.63	100.000	0.10	0.20
11	1592.750000	24.38	18.53	100.000	0.10	0.20
12	1662.000000	32.09	18.89	100.000	0.10	0.20
13	1800.500000	33.70	19.32	100.000	0.10	0.20
14	1869.750000	24.52	19.61	100.000	0.10	0.20
15	1939.000000	27.37	20.79	100.000	0.10	0.20
