                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	12.74	3.45	100.000	0.10	0.20
2	277.000000	12.13	4.08	100.000	0.10	0.20
3	415.500000	21.86	7.76	100.000	0.10	0.20
4	692.500000	37.82	11.64	100.000	0.10	0.20
5	831.000000	21.57	13.36	100.000	0.10	0.20
6	969.500000	28.92	15.17	100.000	0.10	0.20
7	1108.000000	23.15	15.45	100.000	0.10	0.20
8	1177.250000	22.57	16.39	100.000	0.10	0.20
9	1246.500000	26.48	16.67	100.000	0.10	0.20
10	1523.500000	26.48	18.63	100.000	0.10	0.20
11	1662.000000	31.01	18.89	100.000	0.10	0.20
12	1800.500000	32.84	19.32	100.000	0.10	0.20
13	1869.750000	24.91	19.61	100.000	0.10	0.20
14	1939.000000	29.89	20.79	100.000	0.10	0.20
