                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.622222	15.60	4.19	100.000	0.10	0.20
2	215.433333	23.28	2.57	100.000	0.10	0.20
3	287.244444	20.45	3.99	100.000	0.10	0.20
4	359.055556	22.73	5.97	100.000	0.10	0.20
5	430.866667	11.66	7.18	100.000	0.10	0.20
6	718.111111	23.92	11.62	100.000	0.10	0.20
7	789.922222	21.09	13.11	100.000	0.10	0.20
8	861.733333	19.84	14.04	100.000	0.10	0.20
9	933.544444	21.92	14.83	100.000	0.10	0.20
10	1005.355556	21.21	15.26	100.000	0.10	0.20
11	1077.166667	21.69	15.66	100.000	0.10	0.20
12	1220.788889	27.17	16.84	100.000	0.10	0.20
13	1292.600000	24.04	17.10	100.000	0.10	0.20
14	1364.411111	29.49	17.17	100.000	0.10	0.20
15	1508.033333	28.97	18.15	100.000	0.10	0.20
16	1579.844444	25.56	18.24	100.000	0.10	0.20
17	1651.655556	25.42	18.69	100.000	0.10	0.20
18	1795.277778	27.45	20.33	100.000	0.10	0.20
19	1938.900000	30.33	20.98	100.000	0.10	0.20
