                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.622222	12.30	4.19	100.000	0.10	0.20
2	215.433333	22.38	2.57	100.000	0.10	0.20
3	287.244444	21.56	3.99	100.000	0.10	0.20
4	359.055556	16.85	5.97	100.000	0.10	0.20
5	430.866667	14.19	7.18	100.000	0.10	0.20
6	646.300000	17.52	10.92	100.000	0.10	0.20
7	718.111111	23.65	11.62	100.000	0.10	0.20
8	789.922222	26.32	13.11	100.000	0.10	0.20
9	861.733333	28.29	14.04	100.000	0.10	0.20
10	933.544444	23.33	14.83	100.000	0.10	0.20
11	1005.355556	22.39	15.26	100.000	0.10	0.20
12	1148.977778	20.90	16.06	100.000	0.10	0.20
13	1220.788889	23.42	16.84	100.000	0.10	0.20
14	1364.411111	23.16	17.17	100.000	0.10	0.20
15	1508.033333	24.40	18.15	100.000	0.10	0.20
16	1795.277778	27.32	20.33	100.000	0.10	0.20
17	1938.900000	28.04	20.98	100.000	0.10	0.20
