                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.622222	12.31	4.19	100.000	0.10	0.20
2	215.433333	30.30	2.57	100.000	0.10	0.20
3	287.244444	26.63	3.99	100.000	0.10	0.20
4	359.055556	22.44	5.97	100.000	0.10	0.20
5	430.866667	21.07	7.18	100.000	0.10	0.20
6	502.677778	16.56	8.96	100.000	0.10	0.20
7	574.488889	19.77	9.63	100.000	0.10	0.20
8	646.300000	18.98	10.92	100.000	0.10	0.20
9	718.111111	25.43	11.62	100.000	0.10	0.20
10	789.922222	30.80	13.11	100.000	0.10	0.20
11	861.733333	25.24	14.04	100.000	0.10	0.20
12	933.544444	27.56	14.83	100.000	0.10	0.20
13	1005.355556	20.79	15.26	100.000	0.10	0.20
14	1077.166667	23.63	15.66	100.000	0.10	0.20
15	1220.788889	28.17	16.84	100.000	0.10	0.20
16	1364.411111	23.87	17.17	100.000	0.10	0.20
17	1508.033333	28.02	18.15	100.000	0.10	0.20
18	1651.655556	24.23	18.69	100.000	0.10	0.20
19	1795.277778	27.44	20.33	100.000	0.10	0.20
20	1867.088889	28.02	19.56	100.000	0.10	0.20
