                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.622222	14.98	4.19	100.000	0.10	0.20
2	215.433333	34.23	2.57	100.000	0.10	0.20
3	287.244444	32.51	3.99	100.000	0.10	0.20
4	359.055556	30.81	5.97	100.000	0.10	0.20
5	430.866667	20.44	7.18	100.000	0.10	0.20
6	502.677778	19.55	8.96	100.000	0.10	0.20
7	574.488889	20.32	9.63	100.000	0.10	0.20
8	646.300000	27.15	10.92	100.000	0.10	0.20
9	718.111111	37.91	11.62	100.000	0.10	0.20
10	789.922222	35.03	13.11	100.000	0.10	0.20
11	861.733333	22.55	14.04	100.000	0.10	0.20
12	933.544444	20.47	14.83	100.000	0.10	0.20
13	1005.355556	21.93	15.26	100.000	0.10	0.20
14	1077.166667	25.90	15.66	100.000	0.10	0.20
15	1148.977778	23.60	16.06	100.000	0.10	0.20
16	1220.788889	28.93	16.84	100.000	0.10	0.20
17	1292.600000	27.32	17.10	100.000	0.10	0.20
18	1364.411111	27.25	17.17	100.000	0.10	0.20
19	1436.222222	25.56	17.62	100.000	0.10	0.20
20	1508.033333	26.66	18.15	100.000	0.10	0.20
21	1579.844444	25.46	18.24	100.000	0.10	0.20
22	1651.655556	26.96	18.69	100.000	0.10	0.20
23	1795.277778	27.68	20.33	100.000	0.10	0.20
24	1867.088889	25.66	19.56	100.000	0.10	0.20
25	1938.900000	28.69	20.98	100.000	0.10	0.20
