                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	71.811111	8.37	1.35	100.000	0.10	0.20
2	143.622222	16.69	4.19	100.000	0.10	0.20
3	215.433333	28.42	2.57	100.000	0.10	0.20
4	287.244444	21.01	3.99	100.000	0.10	0.20
5	359.055556	22.28	5.97	100.000	0.10	0.20
6	502.677778	14.28	8.96	100.000	0.10	0.20
7	646.300000	16.20	10.92	100.000	0.10	0.20
8	718.111111	26.36	11.62	100.000	0.10	0.20
9	789.922222	24.14	13.11	100.000	0.10	0.20
10	861.733333	20.22	14.04	100.000	0.10	0.20
11	933.544444	21.35	14.83	100.000	0.10	0.20
12	1005.355556	21.95	15.26	100.000	0.10	0.20
13	1077.166667	26.20	15.66	100.000	0.10	0.20
14	1148.977778	24.35	16.06	100.000	0.10	0.20
15	1220.788889	29.93	16.84	100.000	0.10	0.20
16	1292.600000	30.93	17.10	100.000	0.10	0.20
17	1364.411111	28.71	17.17	100.000	0.10	0.20
18	1436.222222	26.89	17.62	100.000	0.10	0.20
19	1508.033333	23.41	18.15	100.000	0.10	0.20
20	1651.655556	25.96	18.69	100.000	0.10	0.20
21	1723.466667	27.11	19.15	100.000	0.10	0.20
22	1795.277778	31.40	20.33	100.000	0.10	0.20
23	1867.088889	26.16	19.56	100.000	0.10	0.20
24	1938.900000	28.28	20.98	100.000	0.10	0.20
