                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.622222	10.06	4.19	100.000	0.10	0.20
2	215.433333	24.64	2.57	100.000	0.10	0.20
3	287.244444	27.55	3.99	100.000	0.10	0.20
4	359.055556	23.88	5.97	100.000	0.10	0.20
5	502.677778	17.62	8.96	100.000	0.10	0.20
6	718.111111	18.09	11.62	100.000	0.10	0.20
7	789.922222	24.92	13.11	100.000	0.10	0.20
8	861.733333	23.89	14.04	100.000	0.10	0.20
9	933.544444	21.60	14.83	100.000	0.10	0.20
10	1077.166667	23.18	15.66	100.000	0.10	0.20
11	1220.788889	27.59	16.84	100.000	0.10	0.20
12	1292.600000	22.96	17.10	100.000	0.10	0.20
13	1364.411111	23.90	17.17	100.000	0.10	0.20
14	1436.222222	27.11	17.62	100.000	0.10	0.20
15	1508.033333	30.11	18.15	100.000	0.10	0.20
16	1651.655556	25.41	18.69	100.000	0.10	0.20
