                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	143.622222	13.51	4.19	100.000	0.10	0.20
2	215.433333	33.81	2.57	100.000	0.10	0.20
3	287.244444	25.59	3.99	100.000	0.10	0.20
4	359.055556	28.23	5.97	100.000	0.10	0.20
5	430.866667	20.40	7.18	100.000	0.10	0.20
6	502.677778	17.43	8.96	100.000	0.10	0.20
7	646.300000	20.87	10.92	100.000	0.10	0.20
8	718.111111	33.80	11.62	100.000	0.10	0.20
9	789.922222	36.35	13.11	100.000	0.10	0.20
10	861.733333	25.55	14.04	100.000	0.10	0.20
11	933.544444	29.31	14.83	100.000	0.10	0.20
12	1005.355556	24.39	15.26	100.000	0.10	0.20
13	1077.166667	24.50	15.66	100.000	0.10	0.20
14	1148.977778	23.44	16.06	100.000	0.10	0.20
15	1220.788889	29.36	16.84	100.000	0.10	0.20
16	1292.600000	23.30	17.10	100.000	0.10	0.20
17	1508.033333	24.75	18.15	100.000	0.10	0.20
18	1867.088889	25.34	19.56	100.000	0.10	0.20
19	1938.900000	27.14	20.98	100.000	0.10	0.20
