                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	71.811111	12.05	1.35	100.000	0.10	0.20
2	143.622222	13.76	4.19	100.000	0.10	0.20
3	215.433333	23.82	2.57	100.000	0.10	0.20
4	287.244444	20.90	3.99	100.000	0.10	0.20
5	359.055556	20.75	5.97	100.000	0.10	0.20
6	430.866667	15.09	7.18	100.000	0.10	0.20
7	718.111111	17.97	11.62	100.000	0.10	0.20
8	789.922222	20.44	13.11	100.000	0.10	0.20
9	861.733333	25.79	14.04	100.000	0.10	0.20
10	933.544444	22.92	14.83	100.000	0.10	0.20
11	1005.355556	22.41	15.26	100.000	0.10	0.20
12	1077.166667	28.41	15.66	100.000	0.10	0.20
13	1148.977778	22.43	16.06	100.000	0.10	0.20
14	1220.788889	23.30	16.84	100.000	0.10	0.20
15	1292.600000	25.53	17.10	100.000	0.10	0.20
16	1364.411111	31.32	17.17	100.000	0.10	0.20
17	1436.222222	29.18	17.62	100.000	0.10	0.20
18	1508.033333	32.00	18.15	100.000	0.10	0.20
19	1579.844444	26.00	18.24	100.000	0.10	0.20
20	1651.655556	30.35	18.69	100.000	0.10	0.20
21	1795.277778	25.77	20.33	100.000	0.10	0.20
22	1867.088889	27.30	19.56	100.000	0.10	0.20
23	1938.900000	27.62	20.98	100.000	0.10	0.20
