                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	71.811111	11.25	1.35	100.000	0.10	0.20
2	143.622222	12.86	4.19	100.000	0.10	0.20
3	215.433333	22.26	2.57	100.000	0.10	0.20
4	287.244444	20.10	3.99	100.000	0.10	0.20
5	359.055556	12.87	5.97	100.000	0.10	0.20
6	502.677778	12.49	8.96	100.000	0.10	0.20
7	646.300000	17.99	10.92	100.000	0.10	0.20
8	789.922222	26.67	13.11	100.000	0.10	0.20
9	861.733333	26.52	14.04	100.000	0.10	0.20
10	933.544444	19.41	14.83	100.000	0.10	0.20
11	1005.355556	22.89	15.26	100.000	0.10	0.20
12	1220.788889	21.87	16.84	100.000	0.10	0.20
13	1292.600000	26.17	17.10	100.000	0.10	0.20
14	1364.411111	30.39	17.17	100.000	0.10	0.20
15	1436.222222	30.67	17.62	100.000	0.10	0.20
16	1508.033333	32.08	18.15	100.000	0.10	0.20
17	1579.844444	25.98	18.24	100.000	0.10	0.20
18	1651.655556	30.86	18.69	100.000	0.10	0.20
19	1795.277778	28.87	20.33	100.000	0.10	0.20
