                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	15.63	3.45	100.000	0.10	0.20
2	277.000000	14.74	4.08	100.000	0.10	0.20
3	415.500000	21.41	7.76	100.000	0.10	0.20
4	554.000000	19.20	10.58	100.000	0.10	0.20
5	692.500000	28.75	11.64	100.000	0.10	0.20
6	831.000000	21.61	13.36	100.000	0.10	0.20
7	969.500000	22.98	15.17	100.000	0.10	0.20
8	1177.250000	22.94	16.39	100.000	0.10	0.20
9	1246.500000	20.88	16.67	100.000	0.10	0.20
10	1523.500000	25.66	18.63	100.000	0.10	0.20
11	1662.000000	27.27	18.89	100.000	0.10	0.20
12	1800.500000	24.80	19.32	100.000	0.10	0.20
