                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	18.24	3.45	100.000	0.10	0.20
2	277.000000	15.87	4.08	100.000	0.10	0.20
3	415.500000	19.57	7.76	100.000	0.10	0.20
4	692.500000	33.75	11.64	100.000	0.10	0.20
5	831.000000	18.42	13.36	100.000	0.10	0.20
6	969.500000	23.98	15.17	100.000	0.10	0.20
7	1177.250000	23.95	16.39	100.000	0.10	0.20
8	1246.500000	23.63	16.67	100.000	0.10	0.20
9	1523.500000	25.54	18.63	100.000	0.10	0.20
10	1662.000000	28.96	18.89	100.000	0.10	0.20
