                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	18.32	3.45	100.000	0.10	0.20
2	277.000000	13.04	4.08	100.000	0.10	0.20
3	415.500000	15.98	7.76	100.000	0.10	0.20
4	554.000000	23.69	10.58	100.000	0.10	0.20
5	692.500000	32.89	11.64	100.000	0.10	0.20
6	969.500000	22.88	15.17	100.000	0.10	0.20
7	1177.250000	23.62	16.39	100.000	0.10	0.20
8	1246.500000	23.63	16.67	100.000	0.10	0.20
9	1523.500000	22.50	18.63	100.000	0.10	0.20
10	1662.000000	26.57	18.89	100.000	0.10	0.20
11	1800.500000	25.38	19.32	100.000	0.10	0.20
12	1939.000000	27.56	20.79	100.000	0.10	0.20
