                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	17.81	3.45	100.000	0.10	0.20
2	277.000000	16.77	4.08	100.000	0.10	0.20
3	415.500000	18.88	7.76	100.000	0.10	0.20
4	554.000000	18.91	10.58	100.000	0.10	0.20
5	692.500000	39.42	11.64	100.000	0.10	0.20
6	831.000000	23.77	13.36	100.000	0.10	0.20
7	900.250000	22.64	15.16	100.000	0.10	0.20
8	969.500000	31.82	15.17	100.000	0.10	0.20
9	1177.250000	23.27	16.39	100.000	0.10	0.20
10	1246.500000	23.90	16.67	100.000	0.10	0.20
11	1385.000000	22.30	17.18	100.000	0.10	0.20
12	1523.500000	27.60	18.63	100.000	0.10	0.20
13	1662.000000	33.60	18.89	100.000	0.10	0.20
14	1800.500000	28.11	19.32	100.000	0.10	0.20
