                                                     
N	„аст.ћ√ц	Eсш.дЅмк¬	Eш.дЅмк¬	ѕѕ.к√ц	ѕогр.пр.дЅ	ѕогр.ант.дЅ
1	138.500000	16.91	3.45	100.000	0.10	0.20
2	277.000000	16.39	4.08	100.000	0.10	0.20
3	415.500000	15.76	7.76	100.000	0.10	0.20
4	554.000000	27.12	10.58	100.000	0.10	0.20
5	692.500000	36.82	11.64	100.000	0.10	0.20
6	969.500000	25.50	15.17	100.000	0.10	0.20
7	1177.250000	20.99	16.39	100.000	0.10	0.20
8	1246.500000	23.96	16.67	100.000	0.10	0.20
9	1523.500000	27.93	18.63	100.000	0.10	0.20
10	1800.500000	26.08	19.32	100.000	0.10	0.20
